Ticker,Price,Slope,RVOL
UNM,72.9,0.0395,1.52
KC,13.59,0.0385,1.13
BTSG,42.33,0.0375,1.18
KRO,6.43,0.0371,1.53
GRNT,5.84,0.0355,1.5
DFTX,17.88,0.035,1.06
DGICB,17.38,0.0345,6.25
OTF,12.27,0.0338,1.17
LBRT,29.04,0.0326,1.57
HTFL,24.69,0.032,1.58
MNPR,54.1,0.0315,1.3
BLSH,34.43,0.031,1.03
FUSB,15.4,0.031,1.04
GFR,6.58,0.0305,1.4
RRBI,89.9,0.0304,1.73
NRXS,6.9,0.03,1.96
MGM,36.32,0.03,1.05
DAL,64.83,0.029,1.2
LILAK,8.44,0.027,1.01
SXC,6.64,0.027,1.62
NVRI,18.83,0.0265,1.17
LILA,8.33,0.0265,1.06
ULBI,6.38,0.026,1.22
KRP,14.71,0.0254,1.23
CSCO,79.92,0.025,1.17
GRDN,34.16,0.025,3.03
SCOR,7.2,0.023,1.78
XPRO,17.91,0.023,1.0
USAC,28.17,0.021,1.5
EHLD,7.44,0.021,1.07
VMD,9.25,0.02,1.34
ECCW,24.98,0.0199,2.7
SKYH,9.3,0.0195,1.79
SMMT,16.58,0.0195,1.3
EDN,27.75,0.0195,1.48
FTAIM,27.11,0.0193,1.76
WLTH,8.81,0.019,1.93
SGA,11.97,0.017,1.05
BRID,7.57,0.0155,1.82
BGSF,6.41,0.015,1.01
DSGN,10.53,0.015,1.74
BOSC,5.03,0.0135,1.35
ACR,18.82,0.0135,1.54
FBLA,13.49,0.013,2.18
FRMEP,26.15,0.012,2.96
CGNT,7.75,0.012,1.1
ULS,83.91,0.0115,1.26
AGIO,29.43,0.0115,1.04
PEBK,38.49,0.0105,1.43
SWKHL,25.3,0.0101,2.33
TSBK,38.91,0.01,1.21
OXLCZ,24.43,0.0096,1.41
PDPA,25.1,0.0094,1.59
FLG,13.05,0.009,1.04
EICA,24.89,0.0087,2.05
AHL,37.5,0.008,1.89
AQNB,25.59,0.0078,6.93
TRINZ,25.07,0.0076,1.09
NMT,11.95,0.0076,1.29
NMRK,14.3,0.0075,1.14
CAPN,10.93,0.007,1.12
AURA,6.27,0.0065,1.15
LCCCU,10.47,0.0065,29.66
NMFCZ,25.33,0.0065,2.22
BRW,6.61,0.0063,1.0
HNVR,21.2,0.006,1.32
RILYK,25.23,0.0051,1.2
QSR,71.42,0.005,1.41
QTI,6.21,0.005,2.31
RDAC,5.1,0.005,1.83
ONTF,8.1,0.0045,1.17
BEP,31.74,0.004,1.74
IDN,5.12,0.0035,5.22
ETHM,10.47,0.0035,1.13
WABC,51.17,0.003,1.61
LBRX,23.84,0.003,1.27
GLDD,16.97,0.003,1.02
LPBB,10.6,0.003,25.79
WSBF,18.12,0.003,1.52
SCIIU,10.26,0.0029,8.62
FOLD,14.41,0.0025,1.11
MACI,10.77,0.0025,2.39
RFAI,10.9,0.0025,113.65
NTB,51.32,0.0025,1.1
BCAR,10.14,0.0023,2.11
MGTX,7.62,0.002,1.35
GPAT,10.82,0.002,1.54
GIG,10.65,0.0018,3.04
TVAI,10.21,0.0015,6.08
QUMS,10.11,0.0015,1.13
CUB,10.74,0.0015,2.77
LEGT,10.98,0.0015,1.55
CEPO,10.49,0.001,2.07
IACOU,9.91,0.001,1.34
IPCX,10.21,0.001,1.41
CBL,37.49,0.001,1.29
COLA,10.54,0.0005,2.31
FDMT,9.33,0.0,1.23
RNGT,9.99,0.0,7.9
PROV,16.01,0.0,1.35
WHFCL,25.12,-0.0,1.1
PSO,12.59,-0.0001,1.13
OCCIM,24.85,-0.0002,1.04
INAC,10.13,-0.0005,1.03
APXTU,10.1,-0.0005,18.76
SCPQU,10.01,-0.0005,2.07
EIIA,24.97,-0.0009,2.06
GAIN,13.81,-0.001,1.57
DCOM,32.88,-0.002,1.32
ELPC,11.41,-0.0035,1.83
CARS,7.96,-0.004,1.73
JBL,261.1,-0.004,1.35
ANRO,20.5,-0.0065,1.58
SR,90.68,-0.0075,1.11
ZIONP,19.21,-0.0075,1.1
PVH,66.4,-0.0076,1.26
EDU,54.48,-0.008,1.2
IMMX,8.15,-0.0105,1.54
PFE,27.04,-0.011,1.12
YOU,47.44,-0.0118,1.01
INMD,13.4,-0.012,1.27
HTFC,24.49,-0.0133,1.45
ALGS,6.66,-0.0153,1.04
RAAQU,11.1,-0.0155,1.77
LNC,34.18,-0.016,1.0
CSBR,5.74,-0.0165,1.77
BGC,9.4,-0.0205,1.03
FCCO,28.53,-0.0205,1.63
AXR,25.9,-0.021,3.17
HBCP,60.09,-0.021,1.83
RGC,25.67,-0.0215,1.19
DOCU,45.71,-0.0225,1.27
GCBC,22.19,-0.026,1.92
NYAX,54.03,-0.0265,1.52
TAK,17.91,-0.0265,1.08
INBK,19.88,-0.0265,1.22
LMAT,106.62,-0.0266,1.22
PAHC,53.88,-0.0267,1.49
PDFS,33.46,-0.027,1.26
CPBI,17.19,-0.029,1.08
FOXF,16.86,-0.0302,1.16
BLX,49.64,-0.0305,1.14
VTS,18.51,-0.0309,1.18
MOV,24.05,-0.032,2.0
WAFD,31.05,-0.032,1.45
VSAT,46.58,-0.033,1.6
SBS,28.77,-0.0339,1.2
VIAV,34.64,-0.0355,1.2
NERV,6.18,-0.036,3.29
JHG,51.38,-0.036,1.84
POWI,49.5,-0.037,1.16
CNOB,26.03,-0.04,1.58
EFSI,33.87,-0.042,1.1
UE,20.0,-0.0423,1.24
ACU,43.86,-0.0455,1.27
FHI,56.0,-0.0485,1.23
OBTC,21.24,-0.0526,1.15
WULF,14.89,-0.0565,1.0
AROC,35.52,-0.063,1.09
NVTS,8.28,-0.0635,1.09
LGN,54.75,-0.065,1.03
USLM,123.99,-0.0745,2.12
WSFS,63.46,-0.0755,1.26
MIRM,88.44,-0.0825,1.27
FIVE,221.72,-0.088,1.81
BYD,80.16,-0.1064,1.06
NKSH,35.6,-0.1095,2.02
CFFI,71.89,-0.1158,1.78
SRAD,17.15,-0.1215,1.01
CALX,50.28,-0.142,1.15
NVT,116.98,-0.1645,1.2
CASH,87.97,-0.1944,1.16
DIOD,68.2,-0.195,1.12
BOKF,124.6,-0.195,1.14
C,107.38,-0.2035,1.04
NBN,108.8,-0.2075,1.2
HUT,47.4,-0.2658,1.01
BMI,145.81,-0.3195,1.11
ESE,279.23,-0.328,1.35
VRT,251.07,-0.3309,2.08
AIR,107.25,-0.626,2.06
BWXT,202.59,-0.6791,1.22
OSIS,272.33,-0.717,1.37
BELFA,190.65,-0.7245,1.22
CRDO,95.24,-0.949,1.07
LRCX,211.41,-0.9657,1.16
GEV,853.16,-1.3744,1.23
FN,551.97,-1.47,1.1
AEIS,310.76,-1.483,1.05
LITE,702.73,-4.026,1.48
KLAC,1443.21,-4.587,1.13
